query_id,mean_length_relevant,mean_length_top10_VSM,mean_length_top10_BM25,delta_AP,num_relevant
198,93.250000,71.200000,87.300000,-0.025505,4
199,76.500000,76.800000,77.700000,0.019008,8
200,110.666667,90.100000,100.500000,0.052071,3
201,125.750000,126.400000,144.600000,0.015809,16
202,89.071429,80.200000,125.600000,0.082031,14
203,97.642857,62.100000,86.500000,0.059984,14
204,95.785714,74.300000,102.300000,-0.002330,14
205,144.500000,98.700000,117.200000,0.373077,2
206,97.333333,72.100000,88.700000,0.018178,3
207,89.200000,87.100000,112.300000,-0.137538,5
208,138.333333,110.700000,131.400000,0.168050,6
209,104.333333,76.300000,137.300000,0.051604,12
210,66.000000,56.500000,80.600000,0.007042,6
211,65.454545,66.100000,87.000000,0.016824,11
212,69.642857,48.100000,51.800000,0.039681,14
213,73.363636,58.200000,58.200000,0.163152,11
214,79.750000,78.600000,97.500000,-0.014786,4
215,91.500000,81.400000,117.000000,0.006311,2
216,135.000000,81.400000,108.200000,0.000347,1
217,103.800000,59.600000,103.600000,0.018455,15
218,132.600000,66.700000,93.400000,0.183734,15
219,113.000000,84.900000,105.500000,-0.007169,18
220,109.842105,61.100000,112.700000,0.121023,19
221,110.000000,91.400000,129.300000,0.128382,18
222,81.555556,58.100000,65.300000,0.146121,9
223,110.250000,59.500000,75.300000,0.270203,4
224,136.375000,81.800000,121.700000,0.054734,8
225,103.291667,93.700000,118.800000,-0.013104,24
