model,query_id,P@10,R@10,F1@10,AP,RR,NDCG@10,num_relevant
VSM,31,0.000000,0.000000,0.000000,0.000999,0.000999,0.000000,1.000000
VSM,32,0.100000,0.166667,0.125000,0.078158,0.250000,0.034654,6.000000
VSM,33,0.300000,1.000000,0.461538,0.337302,0.250000,0.499553,3.000000
VSM,34,0.100000,0.166667,0.125000,0.165099,0.142857,0.045633,6.000000
VSM,35,0.000000,0.000000,0.000000,0.029071,0.045455,0.000000,3.000000
VSM,36,0.100000,0.500000,0.166667,0.064405,0.125000,0.106423,2.000000
VSM,37,0.200000,0.222222,0.210526,0.081474,0.142857,0.098671,9.000000
VSM,38,0.000000,0.000000,0.000000,0.037061,0.055556,0.000000,10.000000
VSM,39,0.200000,0.153846,0.173913,0.145616,0.500000,0.202593,13.000000
VSM,40,0.100000,0.083333,0.090909,0.053603,0.142857,0.035483,12.000000
VSM,41,0.300000,1.000000,0.461538,0.777778,1.000000,0.855815,3.000000
VSM,42,0.200000,0.400000,0.266667,0.136527,0.125000,0.150235,5.000000
VSM,43,0.400000,0.666667,0.500000,0.520449,1.000000,0.774284,6.000000
VSM,44,0.000000,0.000000,0.000000,0.002488,0.001355,0.000000,3.000000
VSM,45,0.200000,0.166667,0.181818,0.213543,1.000000,0.496901,12.000000
VSM,46,0.400000,0.266667,0.320000,0.296019,1.000000,0.508490,15.000000
VSM,47,0.400000,0.285714,0.333333,0.319216,0.250000,0.308761,14.000000
VSM,48,0.300000,0.272727,0.285714,0.184251,0.500000,0.413121,11.000000
VSM,49,0.100000,0.500000,0.166667,0.290000,0.500000,0.521296,2.000000
VSM,50,0.100000,0.166667,0.125000,0.068063,0.333333,0.267375,6.000000
VSM,51,0.300000,0.300000,0.300000,0.358307,1.000000,0.239418,10.000000
VSM,52,0.400000,1.000000,0.571429,0.604167,0.500000,0.609488,4.000000
VSM,53,0.200000,0.200000,0.200000,0.296190,1.000000,0.192174,10.000000
VSM,54,0.200000,0.222222,0.210526,0.110179,0.333333,0.283513,9.000000
VSM,55,0.200000,0.200000,0.200000,0.120210,0.250000,0.128834,10.000000
VSM,56,0.200000,0.200000,0.200000,0.099657,0.200000,0.108302,10.000000
VSM,57,0.000000,0.000000,0.000000,0.067507,0.083333,0.000000,14.000000
VSM,58,0.000000,0.000000,0.000000,0.112092,0.090909,0.000000,9.000000
VSM,59,0.100000,0.250000,0.142857,0.110008,0.250000,0.110573,4.000000
VSM,60,0.300000,0.600000,0.400000,0.570068,1.000000,0.419217,5.000000
VSM,61,0.300000,0.600000,0.400000,0.465263,1.000000,0.583983,5.000000
VSM,62,0.000000,0.000000,0.000000,0.023910,0.045455,0.000000,5.000000
VSM,63,0.000000,0.000000,0.000000,0.029871,0.021739,0.000000,3.000000
VSM,64,0.200000,1.000000,0.333333,0.625000,1.000000,0.886269,2.000000
VSM,65,0.500000,0.333333,0.400000,0.377865,1.000000,0.551364,15.000000
VSM,66,0.200000,0.400000,0.266667,0.125072,0.200000,0.328016,5.000000
VSM,67,0.600000,0.428571,0.500000,0.538572,1.000000,0.622308,14.000000
VSM,68,0.100000,0.200000,0.133333,0.066235,0.111111,0.164044,5.000000
VSM,69,0.000000,0.000000,0.000000,0.017802,0.020833,0.000000,5.000000
VSM,70,0.000000,0.000000,0.000000,0.041352,0.024390,0.000000,10.000000
VSM,71,0.000000,0.000000,0.000000,0.036007,0.047619,0.000000,8.000000
VSM,72,0.200000,0.117647,0.148148,0.116861,0.333333,0.228473,17.000000
VSM,73,0.500000,0.250000,0.333333,0.346144,1.000000,0.661714,20.000000
VSM,74,0.000000,0.000000,0.000000,0.075878,0.058824,0.000000,6.000000
VSM,75,0.100000,0.200000,0.133333,0.065367,0.250000,0.100583,5.000000
VSM,76,0.100000,0.142857,0.117647,0.182593,1.000000,0.172041,7.000000
VSM,77,0.300000,0.500000,0.375000,0.341578,0.500000,0.160013,6.000000
VSM,78,0.300000,1.000000,0.461538,0.588889,0.500000,0.587018,3.000000
VSM,79,0.000000,0.000000,0.000000,0.058784,0.071429,0.000000,5.000000
VSM,80,0.000000,0.000000,0.000000,0.013460,0.011905,0.000000,4.000000
VSM,81,0.200000,1.000000,0.333333,0.266667,0.333333,0.498311,2.000000
VSM,82,0.200000,0.400000,0.266667,0.424351,1.000000,0.482560,5.000000
VSM,83,0.100000,0.250000,0.142857,0.106740,0.333333,0.195190,4.000000
VSM,84,0.300000,0.272727,0.285714,0.288386,1.000000,0.197271,11.000000
VSM,85,0.100000,0.250000,0.142857,0.261268,1.000000,0.135083,4.000000
VSM,86,0.200000,1.000000,0.333333,0.375000,0.500000,0.580279,2.000000
VSM,87,0.000000,0.000000,0.000000,0.011019,0.012195,0.000000,8.000000
VSM,88,0.600000,1.000000,0.750000,0.841667,1.000000,0.811624,6.000000
VSM,89,0.100000,0.166667,0.125000,0.132004,0.250000,0.213959,6.000000
VSM,90,0.200000,0.153846,0.173913,0.153943,0.333333,0.058763,13.000000
VSM,91,0.200000,0.222222,0.210526,0.181428,0.250000,0.230897,9.000000
VSM,92,0.700000,0.538462,0.608696,0.601431,1.000000,0.321270,13.000000
VSM,93,0.100000,1.000000,0.181818,0.500000,0.500000,0.630930,1.000000
VSM,94,0.500000,0.416667,0.454545,0.516417,1.000000,0.316971,12.000000
VSM,95,0.100000,0.500000,0.166667,0.187500,0.250000,0.027553,2.000000
VSM,96,0.500000,0.384615,0.434783,0.327183,0.500000,0.250323,13.000000
VSM,97,0.300000,0.300000,0.300000,0.194071,0.333333,0.236221,10.000000
VSM,98,0.000000,0.000000,0.000000,0.017214,0.018519,0.000000,5.000000
VSM,99,0.200000,0.500000,0.285714,0.231390,0.500000,0.459141,4.000000
VSM,100,0.300000,0.333333,0.315789,0.184020,0.250000,0.286394,9.000000
VSM,101,0.500000,0.833333,0.625000,0.602646,1.000000,0.749541,6.000000
VSM,102,0.200000,0.500000,0.285714,0.453459,1.000000,0.491868,4.000000
VSM,103,0.000000,0.000000,0.000000,0.036734,0.071429,0.000000,2.000000
VSM,104,0.200000,0.400000,0.266667,0.175371,0.250000,0.277273,5.000000
VSM,105,0.300000,0.600000,0.400000,0.465528,1.000000,0.779274,5.000000
VSM,106,0.200000,0.400000,0.266667,0.261543,0.500000,0.422109,5.000000
VSM,107,0.300000,0.428571,0.352941,0.317130,0.500000,0.342296,7.000000
VSM,108,0.600000,0.857143,0.705882,0.820068,1.000000,0.777944,7.000000
VSM,109,0.000000,0.000000,0.000000,0.028329,0.019231,0.000000,5.000000
VSM,110,0.100000,0.250000,0.142857,0.275107,1.000000,0.568298,4.000000
VSM,111,0.400000,0.571429,0.470588,0.321231,0.250000,0.375127,7.000000
VSM,112,0.100000,0.500000,0.166667,0.183333,0.333333,0.137706,2.000000
VSM,113,0.200000,0.500000,0.285714,0.513820,1.000000,0.636682,4.000000
VSM,114,0.100000,0.250000,0.142857,0.101072,0.333333,0.337708,4.000000
VSM,115,0.000000,0.000000,0.000000,0.011930,0.025641,0.000000,4.000000
VSM,116,0.100000,0.200000,0.133333,0.045203,0.125000,0.047151,5.000000
VSM,117,0.000000,0.000000,0.000000,0.030146,0.023256,0.000000,2.000000
VSM,118,0.100000,0.333333,0.153846,0.126781,0.111111,0.202757,3.000000
VSM,119,0.100000,1.000000,0.181818,1.000000,1.000000,1.000000,1.000000
VSM,120,0.500000,0.555556,0.526316,0.443225,0.500000,0.549517,9.000000
VSM,121,0.400000,0.571429,0.470588,0.631498,1.000000,0.553469,7.000000
VSM,122,0.400000,0.444444,0.421053,0.312673,0.333333,0.216931,9.000000
VSM,123,0.000000,0.000000,0.000000,0.064394,0.083333,0.000000,2.000000
VSM,124,0.000000,0.000000,0.000000,0.003868,0.004255,0.000000,4.000000
VSM,125,0.400000,0.235294,0.296296,0.202469,0.333333,0.337301,17.000000
VSM,126,0.200000,0.250000,0.222222,0.163169,0.500000,0.430617,8.000000
VSM,127,0.100000,0.200000,0.133333,0.063373,0.250000,0.094075,5.000000
VSM,128,0.000000,0.000000,0.000000,0.011984,0.018519,0.000000,2.000000
VSM,129,0.500000,0.714286,0.588235,0.488163,0.500000,0.599956,7.000000
VSM,130,0.300000,0.600000,0.400000,0.340000,0.500000,0.431813,5.000000
